id,calcium,calory,carbohydrate,cholesterol,code,copper,fat,fiber_dietary,health_light,iodine,iron,is_liquid,kalium,lactoflavin,magnesium,manganese,name,natrium,niacin,protein,selenium,thiamine,thumb_image_url,vitamin_a,vitamin_c,vitamin_e,weight,zinc,category
18784,,406,67,,alasijiakanglishiguwutiquwufuhepian,,3,0,1,,,FALSE,,95,,,°¢À­Ë¹¼Ó ¿µÁ¦Ê¿¹ÈÎïÌáÈ¡Îï¸´ºÏÆ¬£¨B×åÎ¬ÉúËØ£©,0,30,14,,50,http://s.boohee.cn/house/upload_food/2009/2/21/206556_1235176666mid.jpg,,,,100,,12
18785,101,63,5.6,,mengniusuanniunaimutangchun,0,3.2,0,1,0.9,0.4,FALSE,150,0.2,12,0,ÃÉÅ£ Ä¾ÌÇ´¼ËáÅ£ÄÌ,60,0.2,3,1.7,0,http://s.boohee.cn/house/upload_food/2009/2/21/206556_1235177180mid.jpg,26,1,0.1,100,0.5,6
18786,,588,39.9,,alasijiakanglishixiaomaipeiyayouruanjiaonang,,47.6,0,2,,,FALSE,,,,,°¢À­Ë¹¼Ó ¿µÁ¦Ê¿Ð¡ÂóÅßÑ¿ÓÍÈí½ºÄÒ,,,0.1,,,http://s.boohee.cn/house/upload_food/2009/2/21/206556_1235177434mid.jpg,,,34826,100,,12
18805,118,77,13,,weiquandizhiyoulaorusuanniunai,0,1.2,0,1,0.9,0.4,FALSE,150,0.2,12,0,Î¶È« µÍÖ¬50%ÓÅÀÒÈéËáÅ£ÄÌ£¨Ô­Î¶¿ÚÎ¶£©,50,0.2,3.4,1.7,0,http://s.boohee.cn/house/upload_food/2009/2/24/21308_1235447628mid.jpg,26,1,0.1,100,0.5,6
18811,,311,2,,guangmingqiedayuanweinailao,,26,0,3,,,FALSE,,,,,¹âÃ÷ÇÐ´ïÔ­Î¶ÄÌÀÒ,,,17.5,,,http://s.boohee.cn/house/upload_food/2009/2/25/84839_1235539435mid.jpg,,,,100,,6
18813,77,96,15.3,,mengniudaliguoshisuannai,0,2.6,0,1,0.9,0.4,FALSE,150,0.2,12,0,ÃÉÅ£ ´óÁ£¹ûÊµËáÄÌ(É£ÝØ+Ò¬¹û),55,0.2,2.6,1.7,0,http://s.boohee.cn/house/upload_food/2009/2/25/205650_1235550889mid.jpg,26,1,0.1,100,0.5,6
18816,,260,42,,chashaobao_jiulouzaochanazhong,,7.3,1.6,2,,,FALSE,,,,,²æÉÕ°ü,,,7.3,,,http://s.boohee.cn/house/upload_food/2009/2/25/224710_1235562240mid.jpg,,,,100,,1
18817,,521,53,,leshishupian,,30.7,0,3,,,FALSE,,,,,ÀÖÊÂÒâ´óÀûÏãÅ¨ºì»âÎ¶ÊíÆ¬,,,7,,,http://s.boohee.cn/house/upload_food/2009/2/25/100595_1235574332mid.jpg,,,,100,,11
18819,,532,51.7,,leshiyuanweishupian,,32.7,0,3,,,FALSE,,,,,ÀÖÊÂÔ­Î¶ÊíÆ¬,,,6.7,,,http://s.boohee.cn/house/upload_food/2009/2/25/100595_1235574591mid.jpg,,,,100,,11
18820,118,103,16.7,,yilichangqingsuannaihuangtaoguoli,0,2.8,0,1,0.9,0.4,TRUE,150,0.2,12,0,ÒÁÀû ³©ÇáËáÄÌ£¨»ÆÌÒ¹ûÁ££©Æ¿×°580g,60,0.2,2.5,1.7,0,http://s.boohee.cn/house/upload_food/2009/2/25/100595_1235574805mid.jpg,26,1,0.1,100,0.5,6
